date,vol
1993-02-12,0.00572578253822626
1993-02-16,0.009850153116234214
1993-02-17,0.009767304654830593
1993-02-18,0.008749688427804403
1993-02-19,0.008697097937348588
1993-02-22,0.008936630523350465
1993-02-23,0.008914756334965449
1993-02-24,0.010035845785735301
1993-02-25,0.010056434811852259
1993-02-26,0.009896642505139336
1993-03-01,0.009658725555623282
1993-03-02,0.005919173151850778
1993-03-03,0.0057456550556707715
1993-03-04,0.006341399170877326
1993-03-05,0.006628570801184455
1993-03-08,0.009098066958342222
1993-03-09,0.00931055352918445
1993-03-10,0.00882146069148804
1993-03-11,0.009021152986253096
1993-03-12,0.00992735196217213
1993-03-15,0.009845840569031407
1993-03-16,0.00882222512588926
1993-03-17,0.00899881574397933
1993-03-18,0.00898941068549055
1993-03-19,0.008938643735620058
1993-03-22,0.005120552392470811
1993-03-23,0.005205885601408452
1993-03-24,0.005106838223551652
1993-03-25,0.0055976149039293766
1993-03-26,0.00481256097587655
1993-03-29,0.004742103037436509
1993-03-30,0.004822634567135256
1993-03-31,0.00428432859694117
1993-04-01,0.004010657348670213
1993-04-02,0.00769597674592574
1993-04-05,0.007883974832394612
1993-04-06,0.007820978493150051
1993-04-07,0.007975475242503824
1993-04-08,0.007538511884312407
1993-04-12,0.008926959868116893
1993-04-13,0.008843459088822312
1993-04-14,0.008787216722537041
1993-04-15,0.008789040594008026
1993-04-16,0.008728391915121578
1993-04-19,0.0052465746394209836
1993-04-20,0.005443536371275402
1993-04-21,0.005339912473768337
1993-04-22,0.006674675087632677
1993-04-23,0.006759578954155289
1993-04-26,0.004389147205921487
1993-04-27,0.0061191950609841735
1993-04-28,0.006108525347566086
1993-04-29,0.0064505350110791605
1993-04-30,0.00651867466156864
1993-05-03,0.00697020786126914
1993-05-04,0.006951159984854711
1993-05-05,0.007006961381336496
1993-05-06,0.005595400184799827
1993-05-07,0.005401687626376024
1993-05-10,0.004323373758521619
1993-05-11,0.0032678822446303877
1993-05-12,0.00317892625218245
1993-05-13,0.005227944428540816
1993-05-14,0.005213976288447986
1993-05-17,0.004891588983596635
1993-05-18,0.0046990199710982335
1993-05-19,0.008221767510145257
1993-05-20,0.008077536346956475
1993-05-21,0.008701697382020744
1993-05-24,0.008757223353066073
1993-05-25,0.008700066904523724
1993-05-26,0.009368238074856467
1993-05-27,0.008251028001357602
1993-05-28,0.008562207103584778
1993-06-01,0.008838912272292769
1993-06-02,0.00887522257430009
1993-06-03,0.006669200481536476
1993-06-04,0.006765740451520694
1993-06-07,0.00611538625728555
1993-06-08,0.006709388360143675
1993-06-09,0.006783338178367903
1993-06-10,0.005130904774561279
1993-06-11,0.005372213447779592
1993-06-14,0.005190060324361686
1993-06-15,0.0037984113127103544
1993-06-16,0.003972757761936755
1993-06-17,0.004144643956210583
1993-06-18,0.00475016038456363
1993-06-21,0.00475968660439177
1993-06-22,0.0036967323226182154
1993-06-23,0.0046000753333797035
1993-06-24,0.006440673826204925
1993-06-25,0.006316206564917777
1993-06-28,0.007190465543169121
1993-06-29,0.0073834497396136015
1993-06-30,0.00737910765945087
1993-07-01,0.007392242161961357
1993-07-02,0.007096884190520134
1993-07-06,0.007847026179711112
1993-07-07,0.00792115803083012
1993-07-08,0.008110720746287688
1993-07-09,0.0069818058949863305
1993-07-12,0.006981754471500683
1993-07-13,0.005861654254217423
1993-07-14,0.0058180690583736925
1993-07-15,0.0059661531089250115
1993-07-16,0.005966689964114514
1993-07-19,0.005691036285251748
1993-07-20,0.004338216474493106
1993-07-21,0.0043536879869060545
1993-07-22,0.003291141004827121
1993-07-23,0.0036005915596917515
1993-07-26,0.004088317057756692
1993-07-27,0.0040882941703846475
1993-07-28,0.003950177279508737
1993-07-29,0.004137369958496887
1993-07-30,0.004459665648713998
1993-08-02,0.004515916933420279
1993-08-03,0.004449109492915258
1993-08-04,0.004436213176890509
1993-08-05,0.003745696954748112
1993-08-06,0.0034842043533400077
1993-08-09,0.003479317390845631
1993-08-10,0.003479172842399013
1993-08-11,0.0033634461128720424
1993-08-12,0.0030598379950114683
1993-08-13,0.002393338282065008
1993-08-16,0.002794097280197961
1993-08-17,0.002904307058578566
1993-08-18,0.003164334516872035
1993-08-19,0.0029465955710136307
1993-08-20,0.002969589808114655
1993-08-23,0.0028910296226392785
1993-08-24,0.0041521103262163895
1993-08-25,0.004116477006731988
1993-08-26,0.0037720436704695333
1993-08-27,0.003904569338745876
1993-08-30,0.003801788963330224
1993-08-31,0.0037845978202003853
1993-09-01,0.003750792598510578
1993-09-02,0.0040456243800024265
1993-09-03,0.004045732788629027
1993-09-07,0.004688864362869544
1993-09-08,0.0031796746182951065
1993-09-09,0.0032721732370327525
1993-09-10,0.004422349158206041
1993-09-13,0.0044105704287884144
1993-09-14,0.004410700457361922
1993-09-15,0.004411636997647029
1993-09-16,0.004556402352286639
1993-09-17,0.0044845415080445135
1993-09-20,0.005060067224974017
1993-09-21,0.0047732372188938115
1993-09-22,0.005514419875528531
1993-09-23,0.0057513365133448156
1993-09-24,0.004986070923390712
1993-09-27,0.006208373103609958
1993-09-28,0.006083397207422078
1993-09-29,0.006142941510648527
1993-09-30,0.006031801869249077
1993-10-01,0.0061517895441563645
1993-10-04,0.005288709460328515
1993-10-05,0.005100461379440157
1993-10-06,0.004625071998249591
1993-10-07,0.0044730139534553985
1993-10-08,0.0043601437497049825
1993-10-11,0.0025627561541521765
1993-10-12,0.002527753130798943
1993-10-13,0.0022220473332458953
1993-10-14,0.004358969752030174
1993-10-15,0.004404778048031475
1993-10-18,0.004641688328578439
