date,sentiment
2025-10-25,-0.44044608866467194
2025-10-26,-0.4192696180764366
2025-10-27,-0.1821993356061171
2025-10-28,-0.11180911577373079
2025-10-29,-0.11883596170575503
2025-10-30,-0.21271948693513545
2025-10-31,-0.24824074329976772
2025-11-01,-0.41221079454702486
2025-11-02,-0.4192696180764366
2025-11-03,-0.1451636397628196
2025-11-04,-0.17790005416552487
2025-11-05,-0.1891151481714788
2025-11-06,-0.2871965735259553
2025-11-07,-0.21365266276010528
2025-11-08,-0.39103432395878956
2025-11-09,-0.41221079454702486
2025-11-10,-0.38105032082073487
2025-11-11,-0.24652535754035393
2025-11-12,-0.40377532552527345
2025-11-13,-0.1429444888220002
2025-11-14,-0.24281399923812036
2025-11-15,-0.4192696180764366
2025-11-16,-0.4192696180764366
2025-11-17,-0.45830987571780873
2025-11-18,-0.19413178219182303
2025-11-19,-0.23920803728811804
2025-11-20,0.059540397475658986
2025-11-21,-0.12238496035959416
2025-11-22,-0.34868138278231897
2025-11-23,-0.37691667689996605
2025-11-24,-0.546179412781084
2025-11-25,-0.5811606447865226
2025-11-26,-0.18025593534934292
2025-11-27,-0.09456373572349544
2025-11-28,-0.05589585090434757
2025-11-29,-0.3416225592529072
2025-11-30,-0.3345637357234954
2025-12-01,-0.2293675846235563
2025-12-02,-0.35675679038989894
2025-12-03,-0.2642369202054765
2025-12-04,-0.3396052587915381
2025-12-05,-0.053509590851485794
2025-12-06,-0.3627990298411425
2025-12-07,-0.3416225592529072
2025-12-08,-0.04383932507649317
2025-12-09,0.06419563733919763
2025-12-10,0.0970013343682879
2025-12-11,0.12271106470320847
2025-12-12,0.011871269805373934
2025-12-13,-0.38397550042937784
2025-12-14,-0.44044608866467194
2025-12-15,0.04464148492820631
2025-12-16,0.0404738797600529
2025-12-17,-0.05054833008597144
2025-12-18,-0.10175633867421736
2025-12-19,-0.2670079967416441
2025-12-20,-0.45456373572349545
2025-12-21,-0.4616225592529072
2025-12-22,-0.35147023202946326
2025-12-23,-0.33343034072399047
2025-12-24,-0.16482050138231386
2025-12-25,-0.39103432395878956
2025-12-26,-0.2654214072279781
2025-12-27,-0.45456373572349545
2025-12-28,-0.44750491219408367
2025-12-29,-0.17153508139564722
2025-12-30,-0.16559402428804615
2025-12-31,-0.12582118551736704
2026-01-01,-0.3416225592529072
2026-01-02,-0.02441502932657243
2026-01-03,-0.4051519710176131
2026-01-04,-0.4051519710176131
2026-01-05,-0.010898352390040318
2026-01-06,0.04826615834996885
2026-01-07,0.05782459974520957
2026-01-08,0.09755875070316697
2026-01-09,0.04105051920245198
2026-01-10,-0.4616225592529072
2026-01-11,-0.5745637357234954
2026-01-12,0.05081772102676659
2026-01-13,0.08024287405250047
2026-01-14,0.012920504200761976
2026-01-15,0.1684084056815897
2026-01-16,0.18819623095162777
2026-01-17,-0.5463284416058484
2026-01-18,-0.5322107945470249
2026-01-19,-0.29221079454702487
2026-01-20,-0.34632147893719956
2026-01-21,-0.4372552659585083
2026-01-22,-0.7159216122797161
2026-01-23,-1.01075323089896
2026-01-24,-0.23076999898050346
2026-01-25,-0.22371117545109173
