date,sentiment
2025-10-25,-0.5529411764705883
2025-10-26,-0.48235294117647054
2025-10-27,0.0117647058823529
2025-10-28,0.2705882352941176
2025-10-29,0.2705882352941176
2025-10-30,0.22352941176470598
2025-10-31,0.08235294117647052
2025-11-01,-0.45882352941176474
2025-11-02,-0.48235294117647054
2025-11-03,0.24705882352941178
2025-11-04,0.48235294117647065
2025-11-05,0.41176470588235303
2025-11-06,0.3176470588235294
2025-11-07,0.388235294117647
2025-11-08,-0.388235294117647
2025-11-09,-0.45882352941176474
2025-11-10,0.17647058823529416
2025-11-11,0.43529411764705883
2025-11-12,0.12941176470588234
2025-11-13,0.6941176470588235
2025-11-14,0.5294117647058822
2025-11-15,-0.48235294117647054
2025-11-16,-0.48235294117647054
2025-11-17,0.22352941176470598
2025-11-18,0.6000000000000001
2025-11-19,0.5294117647058822
2025-11-20,1.0
2025-11-21,0.7647058823529411
2025-11-22,-0.24705882352941178
2025-11-23,-0.3411764705882353
2025-11-24,0.22352941176470598
2025-11-25,0.24705882352941178
2025-11-26,0.7176470588235293
2025-11-27,0.6000000000000001
2025-11-28,0.8352941176470587
2025-11-29,-0.22352941176470587
2025-11-30,-0.19999999999999996
2025-12-01,0.6000000000000001
2025-12-02,0.3411764705882352
2025-12-03,0.388235294117647
2025-12-04,0.24705882352941178
2025-12-05,0.19999999999999996
2025-12-06,-0.2941176470588235
2025-12-07,-0.22352941176470587
2025-12-08,0.5058823529411764
2025-12-09,0.24705882352941178
2025-12-10,0.3176470588235294
2025-12-11,0.3647058823529412
2025-12-12,0.2705882352941176
2025-12-13,-0.3647058823529412
2025-12-14,-0.5529411764705883
2025-12-15,0.0117647058823529
2025-12-16,0.0117647058823529
2025-12-17,0.2705882352941176
2025-12-18,0.3647058823529412
2025-12-19,0.0117647058823529
2025-12-20,-0.6
2025-12-21,-0.6235294117647059
2025-12-22,-0.15294117647058825
2025-12-23,-0.05882352941176472
2025-12-24,0.388235294117647
2025-12-25,-0.388235294117647
2025-12-26,0.05882352941176472
2025-12-27,-0.6
2025-12-28,-0.5764705882352941
2025-12-29,-0.10588235294117643
2025-12-30,-0.08235294117647063
2025-12-31,0.388235294117647
2026-01-01,-0.22352941176470587
2026-01-02,-0.03529411764705881
2026-01-03,-0.43529411764705883
2026-01-04,-0.43529411764705883
2026-01-05,-0.05882352941176472
2026-01-06,-0.08235294117647063
2026-01-07,-0.05882352941176472
2026-01-08,-0.17647058823529416
2026-01-09,-0.17647058823529416
2026-01-10,-0.6235294117647059
2026-01-11,-1.0
2026-01-12,-0.45882352941176474
2026-01-13,-0.5058823529411764
2026-01-14,-0.5058823529411764
2026-01-15,-0.3647058823529412
2026-01-16,-0.6235294117647059
2026-01-17,-0.9058823529411765
2026-01-18,-0.8588235294117648
2026-01-19,-0.05882352941176472
2026-01-20,0.0117647058823529
2026-01-21,0.03529411764705892
2026-01-22,-0.45882352941176474
2026-01-23,-0.5294117647058824
2026-01-24,-0.9529411764705882
2026-01-25,-0.9294117647058824
