date,Close,High,Low,Open,Volume,log_return,volatility_20d,abs_return,return_squared,lag_1,lag_5,lag_10,lag_20,rolling_abs_return_mean_20d,sentiment,sentiment_lag1,sentiment_scaled,target_volatility
1993-03-02,24.79313087463379,24.79313087463379,24.41382011020963,24.448302906975464,182400,0.014711640244433975,0.13277293261123166,0.014711640244433975,0.00021643235868164934,-0.002819369466660801,-0.0007151737650568844,-0.02555224665636257,0.0070872352226490735,0.00535807354138442,0.0,0.0,0.010976425998969032,0.10939406807625847
1993-03-03,24.896564483642575,24.913805871789148,24.79311615476318,24.82759893105631,280100,0.004163187463987646,0.13324596445342943,0.004163187463987646,1.7332129860303886e-05,0.014711640244433975,0.012793253551209856,-0.0007186520011780586,0.0021165297575324454,0.005460406426707179,0.0,0.0,0.010976425998969032,0.10862039298213072
1993-03-04,24.75864601135254,24.931059980790927,24.75864601135254,24.931059980790927,89500,-0.005555059603221459,0.12999347815034074,0.005555059603221459,3.0858687195342956e-05,0.004163187463987646,0.0021165297575324454,-0.0007198856328118267,0.010514967407345949,0.005212411036500955,0.0,0.0,0.010976425998969032,0.10737026782426383
1993-03-05,24.689685821533203,24.896582630093537,24.672444420819843,24.79313422581337,40000,-0.0027891834555291714,0.12942531585480757,0.0027891834555291714,7.779544348597649e-06,-0.005555059603221459,0.0014085352069224016,0.00359346338891821,0.00417585292462706,0.005143077563046061,0.0,0.0,0.010976425998969032,0.13142714956577148
1993-03-08,25.241411209106445,25.241411209106445,24.741410577232067,24.741410577232067,50800,0.022100369374442347,0.1518105332177081,0.022100369374442347,0.0004884263264867892,-0.0027891834555291714,-0.002819369466660801,0.003580280331815434,-0.0006945734635407279,0.006213367358591142,0.0,0.0,0.010976425998969032,0.10342053345214108
1993-03-09,25.155181884765625,25.2069060421709,25.103457727360347,25.18966465636914,169300,-0.0034220332445042494,0.15255216110095277,0.0034220332445042494,1.171031152649228e-05,0.022100369374442347,0.014711640244433975,-0.0007151737650568844,0.0,0.006384469020816354,0.0,0.0,0.010976425998969032,0.10328442414452763
1993-03-10,25.206926345825195,25.20692634582519,25.05175374862107,25.15520214675715,194400,0.002054897266439925,0.1498792687665507,0.002054897266439925,4.222602775622275e-06,-0.0034220332445042494,0.004163187463987646,0.012793253551209856,-0.006973791598357302,0.006138524304220485,0.0,0.0,0.010976425998969032,0.10405589611943841
1993-03-11,25.137943267822266,25.29311575712981,25.10346049242059,25.22415020632646,70900,-0.0027404230740391564,0.15050390166072353,0.0027404230740391564,7.5099186247262195e-06,0.002054897266439925,-0.005555059603221459,0.0021165297575324454,0.0013988399848235203,0.006205603458681267,0.0,0.0,0.010976425998969032,0.10391143933475777
1993-03-12,24.87932777404785,24.94829333960308,24.724155251548595,24.93105194821427,643600,-0.010341139892701997,0.15484727961890615,0.010341139892701997,0.00010693917428043266,-0.0027404230740391564,-0.0027891834555291714,0.0014085352069224016,0.004879510729797002,0.006478684916826518,0.0,0.0,0.010976425998969032,0.11117751332195255
1993-03-15,25.00002670288086,25.000026702880863,24.862095521071865,24.862095521071865,310800,0.004839644204878539,0.15279015163361542,0.004839644204878539,2.342215602981443e-05,-0.010341139892701997,0.022100369374442347,-0.002819369466660801,-0.007678374958761922,0.0063367483791323485,0.0,0.0,0.010976425998969032,0.11002032970121356
1993-03-16,25.00002670288086,25.06899229378536,25.000026702880863,25.000026702880863,30800,0.0,0.11709072307685842,0.0,0.0,0.004839644204878539,-0.0034220332445042494,0.014711640244433975,-0.02555224665636257,0.0050591360463142195,0.0,0.0,0.010976425998969032,0.11011243406276104
1993-03-17,24.84486198425293,24.965551806522026,24.81037917789033,24.965551806522026,21800,-0.006225923015335304,0.12041931909542282,0.006225923015335304,3.876211739288184e-05,0.0,0.002054897266439925,0.004163187463987646,-0.0007186520011780586,0.0053344995970220814,0.0,0.0,0.010976425998969032,0.10777127830326283
1993-03-18,25.00002670288086,25.10347508923761,24.948302509702486,24.948302509702486,59300,0.006225923015335357,0.12101280836990035,0.006225923015335357,3.8762117392882496e-05,-0.006225923015335304,-0.0027404230740391564,-0.005555059603221459,-0.0007198856328118267,0.005609801466148257,0.0,0.0,0.010976425998969032,0.10534007769407452
1993-03-19,24.96220588684082,25.10078857045964,24.96220588684082,25.10078857045964,66900,-0.001513976510008485,0.12156101580571092,0.001513976510008485,2.2921248728574727e-06,0.006225923015335357,-0.010341139892701997,-0.0027891834555291714,0.00359346338891821,0.005505827122202772,0.0,0.0,0.010976425998969032,0.10620999839946092
1993-03-22,24.82361221313477,24.875580696483965,24.702352418653295,24.719675246436363,183400,-0.005567610898407773,0.12418618288052496,0.005567610898407773,3.099829111606901e-05,-0.001513976510008485,0.004839644204878539,0.022100369374442347,0.003580280331815434,0.005605193650532388,0.0,0.0,0.010976425998969032,0.10579782155980876
1993-03-23,24.875581741333008,24.91022739835436,24.84093608431165,24.892904569843687,55200,0.0020913637829976747,0.12394067121545575,0.0020913637829976747,4.373802472834345e-06,-0.005567610898407773,0.0,-0.0034220332445042494,-0.0007151737650568844,0.0056740031514294275,0.0,0.0,0.010976425998969032,0.10543143403350347
1993-03-24,24.875581741333008,24.979518712397077,24.71967628473691,24.84093608431165,37200,0.0,0.11669196747609191,0.0,0.0,0.0020913637829976747,-0.006225923015335304,0.002054897266439925,0.012793253551209856,0.005034340473868935,0.0,0.0,0.010976425998969032,0.11407528887351277
1993-03-25,25.03148651123047,25.08345499533683,24.858258230875933,24.89290388694684,110100,0.006247823504969304,0.11815812962791243,0.006247823504969304,3.903529854924692e-05,0.0,0.006225923015335357,-0.0027404230740391564,0.0021165297575324454,0.005240905161240778,0.0,0.0,0.010976425998969032,0.11121996624074233
1993-03-26,24.892894744873047,25.031477318261345,24.87557192319951,25.014154496587807,101500,-0.00555208172379532,0.12051086119919015,0.00555208172379532,3.082561146770201e-05,0.006247823504969304,-0.001513976510008485,-0.010341139892701997,0.0014085352069224016,0.005448082487084424,0.0,0.0,0.010976425998969032,0.11262590961476403
1993-03-29,24.9968376159668,25.118097396501632,24.910223487013344,24.910223487013344,87100,0.004166910367039843,0.12028283053401506,0.004166910367039843,1.736314200694412e-05,-0.00555208172379532,-0.005567610898407773,0.004839644204878539,-0.002819369466660801,0.0055154595321033765,0.0,0.0,0.010976425998969032,0.11938245758257109
1993-03-30,25.06612014770508,25.06612014770508,24.99682886878952,25.0314745082473,56000,0.0027678179261956745,0.10939406807625847,0.0027678179261956745,7.660816072570124e-06,0.004166910367039843,0.0020913637829976747,0.0,0.014711640244433975,0.0049182684161914614,0.0,0.0,0.010976425998969032,0.11839332963926393
