model,rmse,mae,R²
GARCH,0.1080078937816018,0.0620214769726158,0.1158249382641157
XGBoost,0.1001362776068352,0.0561760130198921,0.2347453514922313
EGARCH,0.0978418702203505,0.057165192937204,0.2744342762495222
